ma 14 okt 2019 0:00:01 CEST , 3 Beschikbaar , 0 Bellers , 3 Chatters , 0 Beiden , 6 Bezet , 95 Offline
ma 14 okt 2019 0:15:02 CEST , 2 Beschikbaar , 0 Bellers , 2 Chatters , 0 Beiden , 3 Bezet , 99 Offline
ma 14 okt 2019 0:30:01 CEST , 2 Beschikbaar , 0 Bellers , 2 Chatters , 0 Beiden , 2 Bezet , 100 Offline
ma 14 okt 2019 0:45:02 CEST , 1 Beschikbaar , 0 Bellers , 1 Chatters , 0 Beiden , 4 Bezet , 99 Offline
ma 14 okt 2019 1:00:02 CEST , 3 Beschikbaar , 0 Bellers , 3 Chatters , 0 Beiden , 0 Bezet , 101 Offline
ma 14 okt 2019 1:15:02 CEST , 3 Beschikbaar , 0 Bellers , 3 Chatters , 0 Beiden , 0 Bezet , 101 Offline
ma 14 okt 2019 1:30:01 CEST , 3 Beschikbaar , 0 Bellers , 3 Chatters , 0 Beiden , 0 Bezet , 101 Offline
ma 14 okt 2019 1:45:01 CEST , 2 Beschikbaar , 0 Bellers , 2 Chatters , 0 Beiden , 0 Bezet , 102 Offline
ma 14 okt 2019 2:00:02 CEST , 1 Beschikbaar , 0 Bellers , 1 Chatters , 0 Beiden , 1 Bezet , 102 Offline
ma 14 okt 2019 2:15:01 CEST , 2 Beschikbaar , 0 Bellers , 2 Chatters , 0 Beiden , 0 Bezet , 102 Offline
ma 14 okt 2019 2:30:02 CEST , 2 Beschikbaar , 0 Bellers , 2 Chatters , 0 Beiden , 0 Bezet , 102 Offline
ma 14 okt 2019 2:45:01 CEST , 2 Beschikbaar , 0 Bellers , 2 Chatters , 0 Beiden , 0 Bezet , 102 Offline
